Index, PC, Target, State Machine, Prediction, Busy
   0, 00405000, 0040C0E0, 01, Taken, true
   1, 00408004, 00408074, 00, Taken, true
   2, 00406008, 0040BD4C, 00, Taken, true
   3, 00000000, 00000000, 00, Taken, false
   4, 00405010, 0040C0E0, 01, Taken, true
   5, 00000000, 00000000, 00, Taken, false
   6, 00000000, 00000000, 00, Taken, false
   7, 00000000, 00000000, 00, Taken, false
   8, 0040C020, 0040F4B0, 00, Taken, true
   9, 00408024, 004080B8, 00, Taken, true
  10, 0040C028, 0040C044, 11, NT   , true
  11, 0040502C, 0040C0E0, 01, Taken, true
  12, 00411030, 0041103C, 00, Taken, true
  13, 00000000, 00000000, 00, Taken, false
  14, 00404038, 00404518, 00, Taken, true
  15, 0040B03C, 0040B048, 00, Taken, true
  16, 00405040, 0040B4D8, 01, Taken, true
  17, 00000000, 00000000, 00, Taken, false
  18, 00405048, 0040C0E0, 01, Taken, true
  19, 0041104C, 0040F280, 00, Taken, true
  20, 00406050, 00406060, 11, NT   , true
  21, 0040C054, 0040BFF8, 00, Taken, true
  22, 00405058, 0040C0E0, 01, Taken, true
  23, 0040605C, 0040606C, 00, Taken, true
  24, 0040B060, 0040AF4C, 00, Taken, true
  25, 00404064, 00404074, 00, Taken, true
  26, 00405068, 0040C0E0, 01, Taken, true
  27, 00000000, 00000000, 00, Taken, false
  28, 0040A070, 0040B494, 00, Taken, true
  29, 00405074, 0040C0E0, 01, Taken, true
  30, 0040A078, 0040A09C, 00, Taken, true
  31, 0040607C, 00406098, 00, Taken, true
  32, 00405080, 0040C0E0, 01, Taken, true
  33, 0040C084, 00402D30, 00, Taken, true
  34, 00000000, 00000000, 00, Taken, false
  35, 00000000, 00000000, 00, Taken, false
  36, 00405090, 0040C0E0, 01, Taken, true
  37, 00406094, 00406044, 00, Taken, true
  38, 00404098, 004040B8, 00, Taken, true
  39, 0040609C, 004060C4, 00, Taken, true
  40, 0040A0A0, 00402F0C, 00, Taken, true
  41, 00000000, 00000000, 00, Taken, false
  42, 0040B0A8, 0040B0E8, 00, Taken, true
  43, 00000000, 00000000, 00, Taken, false
  44, 0040B0B0, 004051EC, 00, Taken, true
  45, 004050B4, 0040C0E0, 01, Taken, true
  46, 0040B0B8, 004053B0, 00, Taken, true
  47, 004040BC, 0040C170, 00, Taken, true
  48, 00000000, 00000000, 00, Taken, false
  49, 004080C4, 004082D8, 00, Taken, true
  50, 0040A0C8, 0040E640, 01, Taken, true
  51, 004060CC, 00405C30, 00, Taken, true
  52, 00000000, 00000000, 00, Taken, false
  53, 0040A0D4, 004057CC, 01, Taken, true
  54, 004050D8, 0040C0E0, 01, Taken, true
  55, 004040DC, 00404150, 00, Taken, true
  56, 0040B0E0, 0040B0AC, 11, NT   , true
  57, 00000000, 00000000, 00, Taken, false
  58, 0040A0E8, 0040A0FC, 01, Taken, true
  59, 004060EC, 0040B9A0, 00, Taken, true
  60, 00000000, 00000000, 00, Taken, false
  61, 00000000, 00000000, 00, Taken, false
  62, 004060F8, 0040BD4C, 00, Taken, true
  63, 0040C0FC, 004051C0, 00, Taken, true
  64, 00405100, 0040C0E0, 01, Taken, true
  65, 00404104, 00404114, 00, Taken, true
  66, 00406108, 00402CC0, 00, Taken, true
