Index,PC,Target,State Machine,Prediction,Busy
   0,00423000,00425E40,00,Taken,True
   1,00000000,00000000,00,Taken,False
   2,00000000,00000000,00,Taken,False
   3,00000000,00000000,00,Taken,False
   4,00000000,00000000,00,Taken,False
   5,00000000,00000000,00,Taken,False
   6,00000000,00000000,00,Taken,False
   7,0042E01C,0042E028,00,Taken,True
   8,00423020,004230A8,00,Taken,True
   9,00000000,00000000,00,Taken,False
  10,00000000,00000000,00,Taken,False
  11,0042E02C,0042B30C,00,Taken,True
  12,00000000,00000000,00,Taken,False
  13,00000000,00000000,00,Taken,False
  14,00423038,00425E40,00,Taken,True
  15,00000000,00000000,00,Taken,False
  16,00000000,00000000,00,Taken,False
  17,00000000,00000000,00,Taken,False
  18,00000000,00000000,00,Taken,False
  19,00000000,00000000,00,Taken,False
  20,00000000,00000000,00,Taken,False
  21,00000000,00000000,00,Taken,False
  22,00000000,00000000,00,Taken,False
  23,0042305C,004230A8,00,Taken,True
  24,00000000,00000000,00,Taken,False
  25,00000000,00000000,00,Taken,False
  26,00000000,00000000,00,Taken,False
  27,00000000,00000000,00,Taken,False
  28,00000000,00000000,00,Taken,False
  29,00000000,00000000,00,Taken,False
  30,00423078,00423088,00,Taken,True
  31,00000000,00000000,00,Taken,False
  32,00000000,00000000,00,Taken,False
  33,00000000,00000000,00,Taken,False
  34,00000000,00000000,00,Taken,False
  35,00000000,00000000,00,Taken,False
  36,00000000,00000000,00,Taken,False
  37,00000000,00000000,00,Taken,False
  38,00000000,00000000,00,Taken,False
  39,00000000,00000000,00,Taken,False
  40,00000000,00000000,00,Taken,False
  41,004230A4,00420358,00,Taken,True
  42,00000000,00000000,00,Taken,False
  43,00000000,00000000,00,Taken,False
  44,00000000,00000000,00,Taken,False
  45,00000000,00000000,00,Taken,False
  46,00000000,00000000,00,Taken,False
  47,00000000,00000000,00,Taken,False
  48,004230C0,0042B900,00,Taken,True
  49,00000000,00000000,00,Taken,False
  50,00000000,00000000,00,Taken,False
  51,00000000,00000000,00,Taken,False
  52,00000000,00000000,00,Taken,False
  53,00000000,00000000,00,Taken,False
  54,00000000,00000000,00,Taken,False
  55,00000000,00000000,00,Taken,False
  56,00000000,00000000,00,Taken,False
  57,004230E4,0042BC70,00,Taken,True
  58,00000000,00000000,00,Taken,False
  59,00000000,00000000,00,Taken,False
  60,00000000,00000000,00,Taken,False
  61,004230F4,004230FC,00,Taken,True
  62,00000000,00000000,00,Taken,False
  63,00000000,00000000,00,Taken,False
  64,00000000,00000000,00,Taken,False
  65,00000000,00000000,00,Taken,False
  66,00423108,00422FEC,00,Taken,True
  67,00000000,00000000,00,Taken,False
  68,00000000,00000000,00,Taken,False
  69,00000000,00000000,00,Taken,False
  70,00000000,00000000,00,Taken,False
  71,00000000,00000000,00,Taken,False
  72,00000000,00000000,00,Taken,False
  73,00000000,00000000,00,Taken,False
  74,00000000,00000000,00,Taken,False
  75,00000000,00000000,00,Taken,False
  76,00000000,00000000,00,Taken,False
  77,00000000,00000000,00,Taken,False
  78,00000000,00000000,00,Taken,False
  79,00000000,00000000,00,Taken,False
  80,00000000,00000000,00,Taken,False
  81,00000000,00000000,00,Taken,False
  82,00000000,00000000,00,Taken,False
  83,00000000,00000000,00,Taken,False
  84,00000000,00000000,00,Taken,False
  85,00000000,00000000,00,Taken,False
  86,00000000,00000000,00,Taken,False
  87,00000000,00000000,00,Taken,False
  88,00000000,00000000,00,Taken,False
  89,00000000,00000000,00,Taken,False
  90,00000000,00000000,00,Taken,False
  91,00000000,00000000,00,Taken,False
  92,00000000,00000000,00,Taken,False
  93,00000000,00000000,00,Taken,False
  94,00000000,00000000,00,Taken,False
  95,00000000,00000000,00,Taken,False
  96,00000000,00000000,00,Taken,False
  97,00000000,00000000,00,Taken,False
  98,00000000,00000000,00,Taken,False
  99,00000000,00000000,00,Taken,False
 100,00000000,00000000,00,Taken,False
 101,00000000,00000000,00,Taken,False
 102,00000000,00000000,00,Taken,False
 103,00000000,00000000,00,Taken,False
 104,00000000,00000000,00,Taken,False
 105,00000000,00000000,00,Taken,False
 106,00000000,00000000,00,Taken,False
 107,00000000,00000000,00,Taken,False
 108,00000000,00000000,00,Taken,False
 109,00000000,00000000,00,Taken,False
 110,0042E1B8,0042BC88,00,Taken,True
 111,00000000,00000000,00,Taken,False
 112,00000000,00000000,00,Taken,False
 113,004001C4,004202B0,00,Taken,True
 114,00000000,00000000,00,Taken,False
 115,00000000,00000000,00,Taken,False
 116,00000000,00000000,00,Taken,False
 117,00000000,00000000,00,Taken,False
 118,00000000,00000000,00,Taken,False
 119,0042C1DC,0042C1F8,00,Taken,True
 120,00000000,00000000,00,Taken,False
 121,00000000,00000000,00,Taken,False
 122,00000000,00000000,00,Taken,False
 123,00000000,00000000,00,Taken,False
 124,00000000,00000000,00,Taken,False
 125,00000000,00000000,00,Taken,False
 126,00000000,00000000,00,Taken,False
 127,00000000,00000000,00,Taken,False
 128,00400200,00400420,00,Taken,True
 129,00000000,00000000,00,Taken,False
 130,00000000,00000000,00,Taken,False
 131,00000000,00000000,00,Taken,False
 132,00000000,00000000,00,Taken,False
 133,00400214,00400410,00,Taken,True
 134,00000000,00000000,00,Taken,False
 135,00000000,00000000,00,Taken,False
