Index, PC, Target, State Machine, Prediction, Busy
   0, 0042E000, 0042B4F4, 00, Taken, true
   7, 0042E01C, 0042E028, 00, Taken, true
   8, 00423020, 004230A8, 00, Taken, true
  11, 0042E02C, 0042B30C, 00, Taken, true
  14, 00423038, 00425E40, 00, Taken, true
  23, 0042305C, 004230A8, 00, Taken, true
  30, 00423078, 00423088, 00, Taken, true
  41, 004230A4, 00420358, 00, Taken, true
  48, 004230C0, 0042B900, 00, Taken, true
  57, 004230E4, 0042BC70, 00, Taken, true
  61, 004230F4, 004230FC, 00, Taken, true
  66, 00423108, 00423060, 00, Taken, true
 110, 0042E1B8, 0042BC88, 00, Taken, true
 113, 004001C4, 004202B0, 00, Taken, true
 119, 0042C1DC, 0042C1F8, 00, Taken, true
 128, 00400200, 00400DB0, 00, Taken, true
 133, 00400214, 00400410, 00, Taken, true
 147, 0042C24C, 0042C238, 01, Taken, true
 153, 0042C264, 0042C274, 00, Taken, true
 158, 0042C278, 00425FB8, 00, Taken, true
 183, 004202DC, 0042AC30, 00, Taken, true
 187, 004202EC, 0042AC30, 00, Taken, true
 191, 004202FC, 0042AC30, 00, Taken, true
 193, 00420304, 00420318, 00, Taken, true
 194, 0042B308, 0042E010, 00, Taken, true
 201, 00420324, 0042AC30, 00, Taken, true
 204, 00420330, 00420340, 00, Taken, true
 209, 0042E344, 0042E1B0, 00, Taken, true
 211, 0042034C, 0042AC30, 00, Taken, true
 213, 00420354, 00422FAC, 00, Taken, true
 215, 0042035C, 00400204, 00, Taken, true
 217, 0042B364, 0042B370, 00, Taken, true
 229, 0042B394, 0042B388, 01, Taken, true
 239, 0042B3BC, 0042B3CC, 00, Taken, true
 249, 0042B3E4, 0042B3F4, 00, Taken, true
 255, 0042B3FC, 0042B3DC, 01, Taken, true
 263, 0040041C, 00400200, 00, Taken, true
 266, 0042B428, 0042B474, 00, Taken, true
 272, 0042B440, 0042B44C, 00, Taken, true
 276, 00400450, 0040041C, 01, Taken, true
 279, 0040045C, 00400200, 00, Taken, true
 284, 0042B470, 00425ED4, 00, Taken, true
